Id,Iso639 3,Iso639 1,Eng name,Epo name,Deu name,Fra name,Spa name,Zho name,Rus name,Own name,Language type,Num users,Abbrev
1276,chu,cu,Church Slavic,slavona,Altkirchenslawisch,slavon d'église vieux,eslavo eclesial,教会斯拉夫语,церковнославянский,ѩзыкъ словѣньскъ,A,11,
5054,pap,"",Papiamento,papiamento,Papiamentu,papiamento,papiamento,帕皮阿门托语,папьяменто,Papiamentu,L,11,
247,amh,am,Amharic,amhara,Amharisch,amharique,amárico,阿姆哈拉语,Амхарский,አማርኛ,L,11,
1839,enm,,Middle English (1100-1500),"angla, meza (ĉ. 1100-1500)",Mittelenglisch,anglais moyen,inglés medio,中古英语,среднеанглийский,Englissh,H,11,
6233,tgk,tg,Tajik,taĝika,Tadschikisch,tadjik,tayiko,塔吉克语,таджикский,тоҷикӣ,L,11,
2142,glv,gv,Manx,manksa,Manx,manx,manés,,мэнский,Gaelg,L,11,
4466,nci,"",Classical Nahuatl,klasika naŭatla,"","",náhuatl clásico,"",Классический науатль,Nāhuatlahtōlli,H,11,
6049,swh,"",Coastal Swahili,marborda svahila,Swahili,Swahili,Suajili,斯瓦希里语,Суахили,Kiswahili,L,11,
6796,vls,"",Flemish,flandra,Flämisch,flamand,flamenco,弗拉芒语,Фламандские диалекты,Vlaams,L,11,
3626,lmo,"",Lombard,lombarda,Lombardisch,lombard,lombardo,倫巴底語,ломбардский,lumbard,L,10,
5778,sjn,"",Sindarin,sindara,Sindarin,"","","","",Eglathrin,C,10,
107,afb,"",Gulf Arabic,golfa araba,"",arabe (parlé du Golfe),"",海湾阿拉伯语,Арабский диалект Персидского залива,"",L,10,
4726,non,"",Old Norse,malnovnordlanda,Altnordisch,vieux norrois,antiguo nórdico,古諾爾斯語,старонорвежский,norrǿna,H,10,
5650,scn,"",Sicilian,sicilia,Sizilianisch,sicilien,siciliano,西西里语,сицилийский,sicilianu,L,10,
4029,mlg,mg,Malagasy,malagasa,Madegassisch,malgache,mal(a)gache,马拉加斯语,малагасийский,Malagasy,L,10,
2190,got,,Gothic,gota,Gotisch,gothique,gótico,,готский,,A,9,
7629,qdt,"",Dothraki,dotraka,Dothraki,Dothraki,Dothraki,多斯拉克語,дотракин,Dothraki,C,9,
4422,nap,,Neapolitan,napola,Neapolitanisch,napolitain,napolitano,,неаполитанский,nnapulitano,L,9,
525,bar,"",Bavarian,bavara,Bayerisch,bavarois,bávaro,奥地利-巴伐利亚语,баварский,Bairisch,L,9,
1273,chr,,Cherokee,ĉeroka,Cherokee,cherokee,cheroqui,切罗基语,чероки,ᏣᎳᎩ,L,9,
5546,roh,rm,Romansh,romanĉa,Rätoromanisch,rhéto-roman,retorrománico,罗曼什语,ретороманский,rumantsch,L,9,
7102,xho,xh,Xhosa,kosa,Xhosa,xhosa,xhosa,,коса,isiXhosa,L,9,
7025,wuu,"",Wu Chinese,vua,Wu-Chinesisch,wu,wu,吳語,У,吴语,L,9,
6097,szl,"",Silesian,silezia-pola,Schlesisch (polnischer Dialekt),Silésien (langue slave),Silesio,西里西亞語,Силезский язык,Ślůnski,L,9,
1791,egy,,Egyptian (Ancient),egipta,Ägyptisch,égyptien (ancien),egipcio,古典埃及语,древнеегипетский,,A,8,
2749,jsl,"",Japanese Sign Language,japana signolingvo,Japanische Gebärdensprache,langue des signes japonaise,lengua de signos japonesa,日本手语,японский жестовый язык,日本手話,L,8,JSL
2781,kal,kl,Greenlandic,gronlanda,Kalaallisut,groenlandais,groenlandés,格陵兰语,калмыцкий,kalaallisut,L,8,
5548,rom,"",Romany,cigana,Romani,Romani,Romaní,罗姆语,цыганский,रोमानो,L,8,
348,arg,an,Aragonese,aragona,Aragonisch,aragonais,aragonés,阿拉贡语,арагонский,aragonés,L,8,
2311,hak,"",Hakka Chinese,hakaa,Hakka,hakka,hakka,客家语,Хакка,客家语,L,8,
3592,lkt,"",Lakota,lakota,lakota,lakota,lakota,"",Лакота,Lakȟóta,L,8,
3889,mfs,"",Mexican Sign Language,meksika signolingvo,Mexikanische Gebärdensprache,langue des signes mexicaine,lengua de signos mexicana,墨西哥手语,мексиканский жестовый язык,lengua de signos mexicana,L,8,LSM
5227,pms,"",Piemontese,piemonta,Piemontisch,piémontais,piamontés,皮埃蒙特語,пьемонтский,piemontèis,L,7,
1717,dsb,,Lower Sorbian,"soraba, malalta",Nieder-Sorbisch,bas-sorabe,bajo sorbio,低地文德语,нижнелужицкий,dolnoserbski,L,7,
383,asq,"",Austrian Sign Language,aŭstra signolingvo,Österreichische Gebärdensprache,langue des signes autrichienne,lengua de signos austriaca,"",австрийский жестовый язык,Österreichische Gebärdensprache,L,7,ÖSG
7595,zra,,Kara (Korea),"",,kara (Corée),,,,,E,7,
8202,qso,"",Solresol,solresolo,Solresol,Solresol,Solresol,索来索语,Сольресоль,sol re sol,C,7,
447,avk,"",Kotava,Kotava,"",Kotava,"","","",Kotava,C,7,
7776,ils,"",International Sign,Internacia Signo,International Sign,Langue des signes internationale,Lengua internacional de signos,國際手語,Джестуно,International Sign,L,7,""
2989,kir,ky,Kirghiz,kirgiza,Kirgisisch,kirghize,kirguís,吉尔吉斯语,киргизский,Кыргыз,L,7,
3213,krl,,Karelian,karela,Karelisch,carélien,carelio,卡累利阿语,карельский,karjala,L,7,
2958,khm,km,Khmer,kmera,Khmer,khmer,jemer,高棉语,кхмерский,ខ្មែរ,L,7,
6764,vec,"",Venetian,venecia,Veneziansch,vénète,veneciano,威尼斯語,венецианский,vèneto,L,7,
1954,frp,"",Arpitan,arpitana,Arpitanisch,arpitan,franco-provenzal,阿皮坦语,арпитанский,arpitan,L,7,""
7415,yor,yo,Yoruba,joruba,Yoruba,yoruba,yoruba,约鲁巴语,Йо́руба,èdè Yorùbá,L,7,
2437,hsb,,Upper Sorbian,suprasoraba,Ober-Sorbisch,haut-sorabe,alto sorbio,上索布语,верхнелужицкий,hornjoserbsce,L,7,
4734,nov,"",Novial,novialo,Novial,Novial,Novial,诺维亚语,Новиаль,novial,C,6,
6024,sun,su,Sundanese,sunda,Sundanesisch,soundanais,sundanés,巽他語,сунданский,basa Sunda,L,6,
6048,swg,"",Swabian,ŝvaba,Schwäbisch,souabe,"","","",Schwäbisch,L,6,""
2772,kab,,Kabyle,kabila,Kabylisch,kabyle,cabilé,卡拜尔语,кабильский,Taqbaylit,L,6,
4378,myv,,Erzya,erzja,Ersjanisch,erza,mordvino,,эрзянский,эрзя,L,6,
5086,pcd,"",Picard,pikarda,"",picard,picardo,"","",picard,L,6,
6053,swl,"",Swedish Sign Language,sveda signolingvo,Schwedische Gebärdensprache,langue des signes suédoise,lengua de signos sueca,瑞典手语,шведский жестовый язык,svenskt teckenspråk,L,6,TSP
2531,igs,"",Interglossa,Intergloso,"",Interglossa,Interglossa,英特格罗沙语,Интерглосса,Interglosa,C,6,
7869,npi,"",Nepali (individual language),nepalia,"","","","","","",L,6,""
1389,cos,co,Corsican,korsika,Korsisch,corse,corso,科西嘉语,корсиканский,corsu,L,6,
6423,tpi,,Tok Pisin,tokpisino,Tok Pisin,tok pisin,,,ток-писин,Tok Pisin,L,6,
7426,yrl,"",Nhengatu,Nengatua,Nheengatu,Nheengatu,Ñe'engatú,"",Ньенгату,"",L,6,
1435,csb,,Kashubian,kaŝuba,Kaschubisch,cachoube,casubio,卡舒比语,кашубский,kaszëbsczi,L,6,
2358,hil,,Hiligaynon,ilonga,,hiligaynon,hiligainón,希利盖农语,хилигайнон,Ilonggo,L,6,
1948,frc,,Cajun French,"",,français (cajun),,,,,L,6,
6976,wol,wo,Wolof,volofa,Wolof,wolof,volofo,,волоф,Wolof,L,6,
8177,zgh,"",Standard Moroccan Tamazight,norma maroka tamaziĥta,"","","","","","",L,5,
6888,wep,"",Westphalian,vestfala,Westfälisch,"","",西发里亚语,Вестфальский диалект,Westfäölsk,L,5,
2189,gos,"",Gronings,groninga,Gronings,Groningois,Groningués,格羅寧根方言,Гронингенское наречие,Grunnegs,L,5,
1436,csc,"",Catalan Sign Language,kataluna signolingvo,Katalonische Gebärdensprache,langue des signes catalane,lengua de signos catalana,加泰罗尼亚手语,каталанский жестовый язык,llengua de signes catalana,L,5,LSC
3315,kvk,"",Korean Sign Language,korea signolingvo,Koreanische Gebärdensprache,langue des signes coréenne,lengua de signos coreana,韩国手语,корейский жестовый язык,한국 수화 언어,L,5,KSL
4771,nsl,"",Norwegian Sign Language,norvega signolingvo,Norwegische Gebärdensprache,langue des signes norvégienne,lengua de signos noruega,"",норвежский жестовый язык,norsk tegnspråk,L,5,NSL
4912,oji,oj,Ojibwa,oĝibva,,ojibwa,ojibwa,,оджибва,ᐊᓂᔑᓇᐯ,L,5,
3448,lao,lo,Lao,laosa,Laotisch,lao,laosiano,老挝语,лаосский,ພາສາລາວ,L,5,
521,bam,bm,Bambara,bambara,,bambara,,班巴拉语,бамбара,bamanankan,L,5,
8216,qnv,"",Na'vi,navia,Na'vi,na'vi,na'vi,納美語,На’ви,Lìʼfya leNaʼvi,C,5,
6642,udm,,Udmurt,udmurta,Udmurtisch,oudmourte,udmurto,,удмуртский,удмурт,L,5,
93,aec,,Saidi Arabic,"",Arabisch (Saudi-Arabien),arabe (séoudien parlé),,,,,L,5,
1308,cjy,"",Jinyu Chinese,ĵina,chinesisch (Jinyu),Jinyu,Jìn,晋语,Цзинь,晋语,L,5,
8200,qsl,"",Slovio,slovio,Slovio,Slovio,"",斯諾維歐語,Словио,Slovio,C,5,
5897,som,so,Somali,somala,Somalisch,somali,somalí,,сомали,Soomaaliga,L,5,
2480,hwc,,Hawai'i Creole English,"",,créole hawaiien,,,,,L,5,
3049,kld,,Gamilaraay,"",,,,,,,L,5,
3089,kmr,,Northern Kurdish,"",,,,,,,L,5,
5943,srd,sc,Sardinian,sarda,Sardisch,sarde,sardo,,сардинский,sardu,L,5,
5472,rcf,,Réunion Creole French,Reunia kreola,,créole réunionnais,,,,,L,5,
5848,smn,"",Inari Sami,anar-samea,Inarisamisch,sami d'Inari,"","",инари-саамский,säämi,L,5,""
2239,gug,,Paraguayan Guaraní,"",,,guaraní paraguayo,,,,L,5,
5298,prd,,Parsi-Dari,"",,,,,,,L,5,
